t = 9.2000
           x           u
     -0.0500      0.0000
      0.0500         nan
      0.1500         nan
      0.2500         nan
      0.3500         nan
      0.4500         nan
      0.5500         nan
      0.6500         nan
      0.7500         nan
      0.8500         nan
      0.9500         nan
      1.0500         nan
      1.1500         nan
      1.2500         nan
      1.3500         nan
      1.4500         nan
      1.5500         nan
      1.6500         nan
      1.7500         nan
      1.8500         nan
      1.9500         nan
      2.0500         nan
      2.1500         nan
      2.2500         nan
      2.3500         nan
      2.4500         nan
      2.5500         nan
      2.6500         nan
      2.7500         nan
      2.8500         nan
      2.9500         nan
      3.0500         nan
      3.1500         nan
      3.2500         nan
      3.3500         nan
      3.4500         nan
      3.5500         nan
      3.6500         nan
      3.7500         nan
      3.8500         nan
      3.9500         nan
      4.0500         nan
      4.1500         nan
      4.2500         nan
      4.3500         nan
      4.4500         nan
      4.5500         nan
      4.6500         nan
      4.7500         nan
      4.8500      0.0000
      4.9500      0.0010
