t = 0.6190
           x           u
     -0.0500     -0.0010
      0.0500      0.0010
      0.1500      0.0010
      0.2500      0.0010
      0.3500      0.0010
      0.4500      0.0010
      0.5500      0.0010
      0.6500      0.0010
      0.7500      0.0010
      0.8500      0.0010
      0.9500      0.0010
      1.0500      0.0010
      1.1500      0.0010
      1.2500      0.0010
      1.3500      0.0010
      1.4500      0.0010
      1.5500      0.0010
      1.6500      0.0010
      1.7500      0.0010
      1.8500      0.0010
      1.9500      0.0010
      2.0500      0.0010
      2.1500      0.0010
      2.2500      0.0010
      2.3500      0.0010
      2.4500      0.0010
      2.5500      0.0010
      2.6500      0.0010
      2.7500      0.0010
      2.8500      0.0010
      2.9500      0.0010
      3.0500      0.0010
      3.1500      0.0010
      3.2500      0.0010
      3.3500      0.0010
      3.4500      0.0010
      3.5500     -0.0010
      3.6500     -0.0020
      3.7500     -0.0020
      3.8500     -0.0020
      3.9500     -0.0020
      4.0500     -0.0020
      4.1500     -0.0020
      4.2500     -0.0020
      4.3500     -0.0020
      4.4500     -0.0020
      4.5500     -0.0020
      4.6500     -0.0020
      4.7500     -0.0020
      4.8500      0.0000
      4.9500      0.0010
