t = 0.0000
           x           u
      0.0000      7.9788
      0.0101      7.6598
      0.0202      6.7771
      0.0303      5.5261
      0.0404      4.1529
      0.0505      2.8763
      0.0606      1.8359
      0.0707      1.0800
      0.0808      0.5856
      0.0909      0.2926
      0.1010      0.1347
      0.1111      0.0572
      0.1212      0.0224
      0.1313      0.0081
      0.1414      0.0027
      0.1515      0.0008
      0.1616      0.0002
      0.1717      0.0001
      0.1818      0.0000
      0.1919      0.0000
      0.2020      0.0000
      0.2121      0.0000
      0.2222      0.0000
      0.2323      0.0000
      0.2424      0.0000
      0.2525      0.0000
      0.2626      0.0000
      0.2727      0.0000
      0.2828      0.0000
      0.2929      0.0000
      0.3030      0.0000
      0.3131      0.0000
      0.3232      0.0000
      0.3333      0.0000
      0.3434      0.0000
      0.3535      0.0000
      0.3636      0.0000
      0.3737      0.0000
      0.3838      0.0000
      0.3939      0.0000
      0.4040      0.0000
      0.4141      0.0000
      0.4242      0.0000
      0.4343      0.0000
      0.4444      0.0000
      0.4545      0.0000
      0.4646      0.0000
      0.4747      0.0000
      0.4848      0.0000
      0.4949      0.0000
      0.5051      0.0000
      0.5152      0.0000
      0.5253      0.0000
      0.5354      0.0000
      0.5455      0.0000
      0.5556      0.0000
      0.5657      0.0000
      0.5758      0.0000
      0.5859      0.0000
      0.5960      0.0000
      0.6061      0.0000
      0.6162      0.0000
      0.6263      0.0000
      0.6364      0.0000
      0.6465      0.0000
      0.6566      0.0000
      0.6667      0.0000
      0.6768      0.0000
      0.6869      0.0000
      0.6970      0.0000
      0.7071      0.0000
      0.7172      0.0000
      0.7273      0.0000
      0.7374      0.0000
      0.7475      0.0000
      0.7576      0.0000
      0.7677      0.0000
      0.7778      0.0000
      0.7879      0.0000
      0.7980      0.0000
      0.8081      0.0000
      0.8182      0.0000
      0.8283      0.0000
      0.8384      0.0000
      0.8485      0.0000
      0.8586      0.0000
      0.8687      0.0000
      0.8788      0.0000
      0.8889      0.0000
      0.8990      0.0000
      0.9091      0.0000
      0.9192      0.0000
      0.9293      0.0000
      0.9394      0.0000
      0.9495      0.0000
      0.9596      0.0000
      0.9697      0.0000
      0.9798      0.0000
      0.9899      0.0000
      1.0000      0.0000
